epoch,loss,lr,val_loss
0,14.006287628842383,0.001,4.242856812139582
1,2.5297340996486626,0.001,2.285660587529265
2,2.1356488957847515,0.001,2.033158131701299
3,1.905151239989959,0.001,1.8393476632264283
4,1.7433352918968987,0.001,1.7180900134942092
5,1.6203573075766415,0.001,1.6925061065104323
6,1.5418234086528266,0.001,1.547585468801599
7,1.4479213234075565,0.001,1.4633927540122464
8,1.3815872706088823,0.001,1.4009434398997245
9,1.3289558392824585,0.001,1.3452207225937027
10,1.280865617634095,0.001,1.296501249266714
11,1.2101987385258233,0.001,1.2619645224268066
12,1.18349670964418,0.001,1.2483627311357968
13,1.1254270841780396,0.001,1.3470070859179994
14,1.086438929604501,0.001,1.3577662770812575
15,1.0538754579947167,0.001,1.2503249998104926
16,1.0224731201978075,0.001,1.142047711781093
17,0.9823459147178021,0.001,1.1064003801100348
18,1.0851499634919708,0.001,1.4625118315756858
19,0.9754981711967704,0.001,1.1203502789427415
20,0.9250905212667799,0.001,1.0317348872372543
21,0.8855903151723528,0.001,0.9679175061455412
22,0.8675228566238561,0.001,0.9542327116661857
23,0.8430698686039325,0.001,1.0308321585526337
24,0.8377650447727478,0.001,0.9113007244609651
25,0.8055843907533232,0.001,0.8781293260851729
26,0.7913619156965276,0.001,1.0203086604943146
27,0.8804160110729257,0.001,0.9743768051937893
28,0.8040216632725037,0.001,0.9867339781659297
29,0.7770598303411425,0.001,0.8631543639083626
30,0.7458316739072505,0.001,0.8691727949385477
31,0.7239914318335425,0.001,0.8524958334067306
32,0.7073015874808597,0.001,0.79714820015231
33,0.7153704313887763,0.001,0.9274662719269977
34,0.7708978797357107,0.001,0.9197738814231204
35,0.7581301752439479,0.001,1.0318604563500737
36,0.6904344835232213,0.001,0.9197073456863639
37,0.6708567217760479,0.001,0.7872729097400699
38,0.6530009108720366,0.001,0.7360273812498365
39,0.6356082216058809,0.001,0.7051147840811632
40,0.6810303611546448,0.001,0.8333266356736997
41,0.6391975024004573,0.001,0.7453676255820187
42,0.6137626028245258,0.001,0.695121219412854
